0 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502 2502
866 0 866 866 866 866 866 866 866 866 866 866 866 866 866 866 866 866
274 274 0 274 274 274 274 274 274 274 274 274 274 274 274 274 274 274
834 834 834 0 834 834 834 834 834 834 834 834 834 834 834 834 834 834
341 341 341 341 0 341 341 341 341 341 341 341 341 341 341 341 341 341
143 143 143 143 143 0 143 143 143 143 143 143 143 143 143 143 143 143
114 114 114 114 114 114 0 114 114 114 114 114 114 114 114 114 114 114
98 98 98 98 98 98 98 0 98 98 98 98 98 98 98 98 98 98
47 47 47 47 47 47 47 47 0 47 47 47 47 47 47 47 47 47
39 39 39 39 39 39 39 39 39 0 39 39 39 39 39 39 39 39
34 34 34 34 34 34 34 34 34 34 0 34 34 34 34 34 34 34
23 23 23 23 23 23 23 23 23 23 23 0 23 23 23 23 23 23
18 18 18 18 18 18 18 18 18 18 18 18 0 18 18 18 18 18
16 16 16 16 16 16 16 16 16 16 16 16 16 0 16 16 16 16
14 14 14 14 14 14 14 14 14 14 14 14 14 14 0 14 14 14
31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 0 31 31
173 173 173 173 173 173 173 173 173 173 173 173 173 173 173 173 0 173
24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 0
Attribute-name test-cost discount group binarize-begin binarize-end
wrr 7.11229 7.11229 x 0 7
wrf 7.3094 7.3094 x 8 15
wkf 7.57644 7.57644 x 16 19
bkr 70.0909 70.0909 x 20 27
bkf 78.6536 78.6536 x 28 35
wkr 89.3119 89.3119 x 36 39
