0 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004
1732 0 1732 1732 1732 1732 1732 1732 1732 1732 1732 1732 1732 1732 1732 1732 1732 1732
549 549 0 549 549 549 549 549 549 549 549 549 549 549 549 549 549 549
1668 1668 1668 0 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668 1668
682 682 682 682 0 682 682 682 682 682 682 682 682 682 682 682 682 682
286 286 286 286 286 0 286 286 286 286 286 286 286 286 286 286 286 286
228 228 228 228 228 228 0 228 228 228 228 228 228 228 228 228 228 228
197 197 197 197 197 197 197 0 197 197 197 197 197 197 197 197 197 197
94 94 94 94 94 94 94 94 0 94 94 94 94 94 94 94 94 94
78 78 78 78 78 78 78 78 78 0 78 78 78 78 78 78 78 78
68 68 68 68 68 68 68 68 68 68 0 68 68 68 68 68 68 68
47 47 47 47 47 47 47 47 47 47 47 0 47 47 47 47 47 47
37 37 37 37 37 37 37 37 37 37 37 37 0 37 37 37 37 37
32 32 32 32 32 32 32 32 32 32 32 32 32 0 32 32 32 32
29 29 29 29 29 29 29 29 29 29 29 29 29 29 0 29 29 29
62 62 62 62 62 62 62 62 62 62 62 62 62 62 62 0 62 62
346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 346 0 346
48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 0
Attribute-name test-cost discount group binarize-begin binarize-end
wrr 7.11229 7.11229 x 0 7
wrf 7.3094 7.3094 x 8 15
wkf 7.57644 7.57644 x 16 19
bkr 70.0909 70.0909 x 20 27
bkf 78.6536 78.6536 x 28 35
wkr 89.3119 89.3119 x 36 39
